日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	14	2	12.13	6.06
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	64	2	13.52	6.76
2014-08-21 09	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	371	23	49.37	2.15
2014-08-21 09	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1762	47	150.20	3.20
2014-08-21 09	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	32	3	13.07	4.36
2014-08-21 09	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	208	21	93.84	4.47
2014-08-21 10	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	41	6	25.68	4.28
2014-08-21 10	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	158	11	21.60	1.96
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	89	1	5.84	5.84
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	26	2	12.11	6.06
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	83	2	12.96	6.48
2014-08-21 10	7034363	baidu-房多多-上海8131931	16792146	昆明-东盟森林-通用	172	13	40.12	3.09
2014-08-21 10	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1839	31	112.55	3.63
2014-08-21 10	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	23	0	0.00	0.00
2014-08-21 10	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	207	18	85.66	4.76
2014-08-21 11	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	35	3	17.91	5.97
2014-08-21 11	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	225	10	19.09	1.91
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	63	10	60.33	6.03
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	20	3	19.07	6.36
2014-08-21 11	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	52	3	18.56	6.19
2014-08-21 11	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1557	36	114.44	3.18
2014-08-21 11	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	25	1	3.93	3.93
2014-08-21 11	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	193	17	80.26	4.72
2014-08-21 12	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	19	0	0.00	0.00
2014-08-21 12	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	32	2	6.24	3.12
2014-08-21 12	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	31	1	6.00	6.00
2014-08-21 12	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	68	1	7.21	7.21
