日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 14	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	47	4	7.51	1.88
2014-08-21 15	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	14	1	3.36	3.36
2014-08-21 15	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	48	7	12.40	1.77
2014-08-21 15	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	12	5	6.25	1.25
2014-08-21 15	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	14	0	0.00	0.00
2014-08-21 15	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	518	12	17.26	1.44
2014-08-21 15	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	10	1	0.84	0.84
2014-08-21 15	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	53	5	10.47	2.09
2014-08-21 16	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	16	0	0.00	0.00
2014-08-21 16	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	27	3	7.16	2.39
2014-08-21 16	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	16	4	8.19	2.05
2014-08-21 16	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	10	0	0.00	0.00
2014-08-21 16	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	549	13	17.44	1.34
2014-08-21 16	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	16	0	0.00	0.00
2014-08-21 16	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	28	4	10.44	2.61
2014-08-21 17	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	19	2	3.95	1.98
2014-08-21 17	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	14	1	3.35	3.35
2014-08-21 17	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	15	0	0.00	0.00
2014-08-21 17	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	16	2	7.56	3.78
2014-08-21 17	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	559	14	20.87	1.49
2014-08-21 17	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	8	2	2.64	1.32
2014-08-21 17	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	34	3	5.31	1.77
2014-08-21 18	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	13	2	4.74	2.37
