日期	账户ID	账户	推广计划ID	推广计划	推广单元ID	推广单元	关键词keywordID	关键词ID	关键词	展现量	点击量	消费	平均点击价格
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381413	128485982	昆明在售楼盘	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381944	135891948	昆明新开盘楼盘	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381464	136272090	昆明新开楼盘	12	2	4.02	2.01
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381776	136273184	昆明近期房价	3	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381815	136273187	昆明最新房价	44	7	4.16	0.59
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381581	136273191	昆明平均房价	3	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381425	136273205	昆明房价多少	34	2	1.63	0.82
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381665	136273208	昆明房价信息	7	1	0.92	0.92
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381785	157983667	在昆明买房	11	1	0.38	0.38
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381926	165591280	昆明新房网	8	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381437	182482245	昆明 买房	1	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381638	217595791	昆明新开盘的楼盘	5	3	5.95	1.98
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381740	219370064	昆明市楼盘	7	2	2.43	1.22
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381632	221219828	昆明市新楼盘	17	1	0.67	0.67
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381431	225145633	昆明买房子	8	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381662	254485548	昆明最新楼盘信息	4	1	0.49	0.49
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381863	264369067	昆明现房	4	1	0.30	0.30
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381809	291253863	昆明新楼盘房价	3	1	0.72	0.72
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381449	291434852	昆明新开盘	3	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381980	294202808	昆明最新开盘	2	0	0.00	0.00
2014-08-21	7034363	baidu-房多多-上海8131931	16690042	昆明-实力壹方城-通用	534807448	通用词	8726381410	294202823	昆明房屋价格	3	1	1.21	1.21
